row	A	B	C	D	E	F	G	H	I	J	K	L	M	N
3			Schedule RA		Details of donations to research associations etc. [deduction under sections 35(1)(ii) or 35(1)(iia) or 35(1)(iii) or 35(2AA)]
5				Sl.No	Name of Donee	Address	City or Town or District	State Code	Pincode	PAN of donee	Amount of donation
6											Donation in cash	Donation in other mode	Total Donation	Eligible Amount of Donation
7				1				(Select)					0
8				2				(Select)					0
9				3				(Select)					0
10				4				(Select)					0
12				Total Donation							0	0	0	0
